elapsed_time,tokens_generated
23.952717,7847
23.998408,7887
24.065412,7927
24.113045,7967
24.152048,8007
24.195680,8047
24.244594,8087
24.284107,8127
24.323432,8167
24.362183,8207
24.402972,8247
24.447857,8287
24.497624,8327
24.537805,8367
24.578489,8407
24.620447,8447
24.659269,8487
24.703030,8527
24.748121,8567
24.792508,8607
24.835379,8647
24.877139,8687
24.920108,8727
24.966556,8767
25.009101,8807
25.052841,8847
25.094916,8887
25.136057,8927
25.181281,8967
25.227455,9007
25.277515,9047
25.320817,9087
25.368113,9127
25.412593,9167
25.457797,9207
25.500625,9247
25.547480,9287
25.590843,9327
25.653782,9367
25.698679,9407
25.740630,9447
25.789167,9487
25.835807,9527
25.878877,9567
25.919765,9607
25.964408,9647
26.008438,9687
26.050459,9727
26.096485,9767
26.140328,9807
26.181308,9847
26.230681,9887
26.273500,9927
26.317687,9967
26.369449,10007
26.412100,10047
26.454935,10087
26.503772,10127
26.547412,10167
26.594727,10207
26.636209,10247
26.679655,10287
26.720418,10327
26.762590,10367
26.807724,10407
26.849123,10447
26.891782,10487
26.940778,10527
26.983688,10567
27.023446,10607
27.067262,10647
27.113382,10687
27.155116,10727
27.200277,10767
27.240664,10807
27.295558,10847
27.346031,10887
27.389429,10927
27.436406,10967
27.479350,11007
27.520689,11047
27.568910,11087
27.618377,11127
27.664603,11167
27.705615,11207
27.745772,11247
27.792794,11287
27.853920,11327
27.901480,11367
27.943086,11407
27.995497,11447
28.052271,11487
28.106368,11527
28.147583,11567
28.194564,11607
28.237908,11647
28.297459,11687
28.354053,11727
28.410154,11767
28.480043,11807
28.552343,11847
28.627009,11887
28.702881,11927
28.774020,11967
28.849327,12007
28.924032,12047
28.995509,12087
29.071472,12127
29.146560,12167
29.219796,12207
29.300925,12247
29.371895,12287
29.447238,12327
29.523899,12367
29.601696,12407
29.675883,12447
29.750460,12487
29.830442,12527
29.901465,12567
29.975067,12607
30.052857,12647
30.122464,12687
30.198169,12727
30.276452,12767
30.350661,12807
30.432530,12847
30.531031,12887
30.601440,12927
30.671838,12967
30.736022,13007
30.804650,13047
30.881023,13087
30.958961,13127
31.029297,13167
31.103283,13207
31.180202,13247
31.252845,13287
31.332157,13327
31.407700,13367
31.483813,13407
31.563302,13447
31.642074,13487
31.711539,13527
31.789259,13567
31.867981,13607
31.938697,13647
32.017822,13687
32.095221,13727
32.173615,13767
32.256306,13807
32.330747,13847
32.403369,13887
32.482925,13927
32.560432,13967
32.630983,14007
32.708774,14047
32.787403,14087
32.856626,14127
32.938279,14167
33.013963,14207
33.090163,14247
33.166623,14287
33.240292,14327
33.311849,14367
33.388948,14407
33.468919,14447
33.539137,14487
33.616670,14527
33.694720,14567
33.763696,14607
33.840235,14647
33.918061,14687
33.995890,14727
34.077349,14767
34.155122,14807
34.226563,14847
34.304552,14887
34.381716,14927
34.451576,14967
34.527284,15007
34.604710,15047
34.674401,15087
34.750824,15127
34.827815,15167
34.902311,15207
34.982425,15247
35.056300,15287
35.127715,15327
35.206645,15367
35.285957,15407
35.355021,15447
35.432640,15487
35.514229,15527
35.583671,15567
35.664155,15607
35.745594,15647
35.825220,15687
35.905332,15727
35.987602,15767
36.059308,15807
36.137396,15847
36.218623,15887
36.288219,15927
36.368306,15967
36.444978,16007
36.525094,16047
36.605883,16087
36.686495,16127
36.759914,16167
36.836859,16207
36.913488,16247
36.983414,16287
37.061344,16327
37.141738,16367
37.212913,16407
37.295942,16447
37.374022,16487
37.448964,16527
37.527921,16567
37.607783,16607
37.680542,16647
37.756641,16687
37.833942,16727
37.902099,16767
37.980635,16807
38.057611,16847
38.127463,16887
38.209455,16927
38.287285,16967
38.360432,17007
38.440266,17047
38.518270,17087
38.587467,17127
38.664771,17167
38.742879,17207
38.811590,17247
38.886262,17287
38.965905,17327
39.039377,17367
39.120533,17407
39.194579,17447
39.272578,17487
39.351247,17527
39.430659,17567
39.504003,17607
39.581128,17647
39.661144,17687
39.730674,17727
39.812654,17767
39.888544,17807
39.964415,17847
40.044316,17887
40.126735,17927
40.197072,17967
40.276541,18007
40.357678,18047
40.427064,18087
40.506556,18127
40.583810,18167
40.661195,18207
40.743401,18247
40.820859,18287
40.893048,18327
40.968359,18367
41.047713,18407
41.119152,18447
41.196638,18487
41.277680,18527
41.346352,18567
41.427863,18607
41.504940,18647
41.581209,18687
41.661290,18727
41.742703,18767
41.817383,18807
41.894664,18847
41.972921,18887
42.043371,18927
42.123531,18967
42.199924,19007
42.270814,19047
42.352853,19087
42.430723,19127
42.503281,19167
42.582868,19207
42.663197,19247
42.731728,19287
42.805485,19327
42.883081,19367
42.953249,19407
43.031923,19447
43.109883,19487
43.181029,19527
43.263530,19567
43.341285,19607
43.418896,19647
43.497438,19687
43.575594,19727
43.644741,19767
43.720903,19807
43.801458,19847
43.870985,19887
43.947097,19927
44.022945,19967
44.101592,20007
44.182479,20047
44.263843,20087
44.336772,20127
44.414258,20167
44.492881,20207
44.562645,20247
44.640173,20287
44.716983,20327
44.793333,20367
44.876415,20407
44.955141,20447
45.032373,20487
45.111805,20527
45.190870,20567
45.263944,20607
45.341790,20647
45.418162,20687
45.491735,20727
45.573315,20767
45.649561,20807
45.727402,20847
45.807336,20887
45.888381,20927
45.961895,20967
46.040832,21007
46.117636,21047
46.191131,21087
46.271649,21127
46.346745,21167
46.423659,21207
46.506100,21247
46.589109,21287
46.665265,21327
46.747861,21367
46.824965,21407
46.899197,21447
46.980665,21487
47.056015,21527
47.133059,21567
47.214705,21607
47.295822,21647
47.370694,21687
47.452891,21727
47.529753,21767
47.603463,21807
47.681685,21847
47.757316,21887
47.832569,21927
47.914889,21967
47.995729,22007
48.071326,22047
48.153790,22087
48.230262,22127
48.304275,22167
48.381994,22207
48.458155,22247
48.531356,22287
48.613673,22327
48.687764,22367
48.765108,22407
48.844561,22447
48.922131,22487
48.996335,22527
49.074401,22567
49.156249,22607
49.229117,22647
49.310699,22687
49.388712,22727
49.466215,22767
49.542339,22807
49.623585,22847
49.697877,22887
49.776213,22927
49.853262,22967
49.927014,23007
50.008786,23047
50.085097,23087
50.161861,23127
50.243859,23167
50.325427,23207
82.530230,23208
82.737754,23210
82.933083,23213
83.125948,23217
83.364848,23222
83.999650,23228
84.201941,23235
84.388552,23243
84.581249,23252
84.870348,23262
85.266941,23273
85.768585,23285
85.954811,23298
86.142938,23312
86.535908,23327
87.176940,23343
87.393584,23360
87.575421,23378
87.761439,23397
88.089078,23417
88.780881,23438
89.003522,23460
89.185281,23483
89.366809,23507
89.707157,23532
90.464556,23558
90.649931,23585
90.833507,23613
91.018735,23642
91.365034,23672
92.063074,23703
92.267075,23735
92.451604,23768
92.632605,23802
92.978014,23837
93.722236,23873
93.906249,23910
94.091302,23948
94.275809,23987
94.581385,24027
94.662592,24067
94.728528,24107
94.790782,24147
94.871666,24187
94.958103,24227
95.056887,24267
95.137205,24307
95.215027,24347
95.278639,24387
95.357035,24427
95.436236,24467
95.512348,24507
95.591810,24547
95.673006,24587
95.754345,24627
95.836869,24667
95.909796,24707
95.986787,24747
96.064105,24787
96.142056,24827
96.226318,24867
96.300978,24907
96.374873,24947
96.454285,24987
96.532302,25027
96.610972,25067
96.689182,25107
96.775536,25147
96.856031,25187
96.935243,25227
97.010284,25267
97.085815,25307
97.163866,25347
97.245376,25387
97.319687,25427
97.396634,25467
97.474469,25507
97.552470,25547
97.631797,25587
97.707515,25627
97.782828,25667
97.866452,25707
97.942640,25747
98.018979,25787
98.097656,25827
98.176898,25867
98.259155,25907
98.335220,25947
98.412482,25987
98.488702,26027
98.568603,26067
98.644002,26107
98.719661,26147
98.796979,26187
98.876804,26227
98.955640,26267
99.032405,26307
99.107450,26347
99.185448,26387
99.264380,26427
99.339371,26467
99.414879,26507
99.493629,26547
99.573571,26587
99.653815,26627
99.731246,26667
99.808058,26707
99.886931,26747
99.962162,26787
100.036018,26827
100.111888,26867
100.191504,26907
100.267587,26947
100.343517,26987
100.420353,27027
100.498764,27067
100.577876,27107
100.652542,27147
100.728791,27187
100.805972,27227
100.884383,27267
100.958144,27307
101.037915,27347
101.114146,27387
101.192919,27427
101.271544,27467
101.347274,27507
101.424086,27547
101.503159,27587
101.580413,27627
101.655299,27667
101.732760,27707
101.811889,27747
101.886978,27787
101.961771,27827
102.036957,27867
102.115506,27907
102.197609,27947
102.276510,27987
102.351047,28027
102.428037,28067
102.507305,28107
102.581512,28147
102.660850,28187
102.736689,28227
102.821993,28267
102.904899,28307
102.979568,28347
103.054846,28387
103.133561,28427
103.214500,28467
103.297758,28507
103.375431,28547
103.451782,28587
103.530140,28627
103.610136,28667
103.685180,28707
103.761587,28747
103.839159,28787
103.921449,28827
103.996129,28867
104.071314,28907
104.146796,28947
104.230399,28987
104.307856,29027
104.382718,29067
104.459642,29107
104.539106,29147
104.617366,29187
104.693111,29227
104.769918,29267
104.846479,29307
104.925148,29347
105.000647,29387
105.075177,29427
