elapsed_time,tokens_generated
0.170381,0
0.172080,0
0.173756,0
0.175235,0
0.176719,0
0.178204,0
0.179683,0
0.181186,0
0.182654,0
0.184159,0
0.185657,0
0.187114,0
0.188600,0
0.190101,0
0.191855,0
0.193354,0
0.194827,0
0.196291,0
0.197822,0
0.199295,0
0.200772,0
0.202244,0
0.203680,0
0.205166,0
0.206634,0
0.208106,0
0.209591,0
0.211126,0
0.212616,0
0.214044,0
0.215500,0
0.217050,0
0.218579,0
0.220118,0
0.221630,0
0.223091,0
0.224553,0
0.226011,0
0.227514,0
0.229016,0
0.230556,0
0.232021,0
0.233608,0
0.235132,0
0.236589,0
0.238017,0
0.239471,0
0.240948,0
0.242450,0
0.243936,0
0.245419,0
0.246890,0
0.248358,0
0.249857,0
0.251358,0
0.252847,0
0.254323,0
0.255778,0
0.257284,0
0.258779,0
0.260233,0
0.261701,0
0.263139,0
0.264646,0
0.266312,0
0.267834,0
0.269363,0
0.270918,0
0.272413,0
0.273894,0
0.275350,0
0.276854,0
0.278367,0
0.279837,0
0.281318,0
0.282827,0
0.284288,0
0.285730,0
0.287184,0
0.288653,0
0.290117,0
0.291606,0
0.293126,0
0.294637,0
0.296128,0
0.297606,0
0.299080,0
0.300587,0
0.302078,0
0.303553,0
0.305087,0
0.306612,0
0.308086,0
0.309554,0
0.311027,0
0.312516,0
0.314048,0
0.315566,0
0.317087,0
0.318623,0
0.320093,0
0.321611,0
0.323101,0
0.324582,0
0.326129,0
0.327688,0
0.329250,0
0.330766,0
0.332244,0
0.333680,0
0.335188,0
0.336724,0
0.338245,0
0.339744,0
0.341255,0
0.342764,0
0.344299,0
0.345776,0
0.347278,0
0.348739,0
0.350238,0
0.351712,0
0.353267,0
0.354783,0
0.356255,0
0.357662,0
0.359159,0
0.360677,0
0.362245,0
0.363802,0
0.365329,0
0.366851,0
0.368330,0
0.369821,0
0.371386,0
0.372893,0
0.374430,0
0.375967,0
0.377448,0
0.378907,0
0.380397,0
0.381891,0
0.383417,0
0.384906,0
0.386378,0
0.387861,0
0.389339,0
0.390879,0
0.392349,0
0.393872,0
0.395351,0
0.396889,0
0.398346,0
0.399884,0
0.401379,0
0.402851,0
0.404313,0
0.405799,0
0.407320,0
0.408852,0
0.410399,0
0.411924,0
0.413420,0
0.414961,0
0.416473,0
0.417989,0
0.419496,0
0.421012,0
0.422486,0
0.423980,0
0.425510,0
0.426964,0
0.428448,0
0.429924,0
0.431424,0
0.432959,0
0.434477,0
0.435937,0
0.437430,0
0.438931,0
0.440385,0
0.441903,0
0.443376,0
0.444866,0
0.446391,0
0.447848,0
0.449339,0
0.450841,0
0.452337,0
0.453841,0
0.455431,0
0.456943,0
0.458489,0
0.460015,0
0.461651,0
0.463260,0
0.464812,0
0.466362,0
0.467970,0
0.469824,0
0.471694,0
0.473496,0
0.475199,0
0.476674,0
0.478185,0
0.479714,0
0.481236,0
0.482716,0
0.484226,0
0.485718,0
0.487157,0
0.488663,0
0.490131,0
0.491643,0
0.493146,0
0.494695,0
0.496187,0
0.497687,0
0.499131,0
0.500669,0
0.502179,0
0.925645,1
1.028000,2
1.369758,4
1.406521,6
1.464878,8
1.500973,10
1.557832,12
1.987585,15
2.057446,18
2.471970,22
2.522215,26
2.907708,31
2.944955,36
3.019576,41
3.405049,47
3.463732,53
3.538566,59
3.939670,66
4.012779,73
4.362139,81
4.399538,89
4.468651,97
4.506590,105
5.097677,114
5.439581,124
5.512590,134
5.876250,145
5.917698,156
5.988718,167
6.029708,178
6.583245,190
6.928453,203
7.001318,216
7.365585,230
7.407115,244
7.467187,258
7.515140,272
7.903287,287
7.976754,302
8.043155,317
8.507939,333
9.028095,350
9.414111,368
9.471525,386
9.512438,404
9.912466,423
9.984085,442
10.054812,461
10.499481,481
10.572736,501
11.124267,522
11.653343,544
12.053935,567
12.400142,591
12.443761,615
12.486247,639
12.528314,663
12.936836,688
12.998866,713
13.059335,738
13.429782,764
13.502273,790
13.860147,817
13.904447,844
13.979420,871
14.023024,898
14.589039,926
14.998198,955
15.062527,984
15.456657,1014
15.503514,1044
15.970475,1075
16.016152,1106
16.421615,1138
16.469208,1170
16.528440,1202
16.920601,1235
16.988668,1268
17.067221,1301
17.476358,1335
17.550824,1369
18.015531,1404
18.668222,1440
19.076234,1477
19.472837,1515
19.521821,1553
19.990082,1592
20.042680,1631
20.439826,1671
20.493470,1711
20.555468,1751
20.967751,1792
21.043847,1833
21.419883,1875
21.473406,1917
21.546408,1959
21.923933,2002
21.987293,2045
22.061342,2088
22.596701,2132
22.956129,2177
23.029253,2222
23.412528,2268
23.466124,2314
23.542130,2360
23.906824,2407
23.969277,2454
24.043362,2501
24.421130,2549
24.499066,2597
24.574099,2645
24.974871,2694
25.061253,2743
25.443183,2793
25.499217,2843
25.574711,2893
25.992520,2944
26.068817,2995
26.537458,3047
26.915981,3100
26.994472,3153
27.051466,3206
27.468160,3260
27.547363,3314
27.982227,3369
28.057084,3424
28.461745,3480
28.523889,3536
29.107624,3593
29.522637,3651
29.955797,3710
30.018596,3769
30.562681,3829
63.223298,3830
64.116195,3832
64.403357,3835
64.845809,3839
65.691552,3844
65.991900,3850
66.493711,3857
67.271599,3865
67.565114,3874
68.067981,3884
68.773025,3895
69.068801,3907
69.346361,3920
69.670652,3934
70.536386,3949
71.598187,3965
72.839185,3982
73.137459,4000
73.567257,4019
74.441039,4039
74.741601,4060
75.038361,4082
75.382309,4105
76.173222,4129
76.484556,4154
76.789326,4180
77.080910,4207
77.829097,4235
78.124907,4264
78.442266,4294
78.773331,4325
79.496808,4357
79.797992,4390
80.116167,4424
80.441250,4459
81.129055,4495
81.426976,4532
81.738700,4570
82.104642,4609
82.723664,4649
83.224804,4690
83.502445,4732
83.961380,4775
84.727658,4819
85.025264,4864
85.286958,4910
85.771854,4957
86.677487,5005
86.987187,5054
87.425751,5104
88.217953,5155
88.505203,5207
88.945029,5260
89.898981,5314
90.206711,5369
90.745049,5425
91.593767,5482
91.898264,5540
92.461672,5599
93.392810,5659
93.454612,5719
93.505222,5779
93.561822,5839
93.641855,5899
93.726170,5959
93.808618,6019
93.895197,6079
93.979443,6139
94.063799,6199
94.151645,6259
94.234432,6319
94.314713,6379
94.395205,6439
94.478016,6499
94.564239,6559
94.645579,6619
94.728805,6679
94.828822,6739
94.913089,6799
94.995481,6859
95.074437,6919
95.159118,6979
95.242948,7039
95.324709,7099
95.405588,7159
95.489350,7219
95.574561,7279
95.655170,7339
95.737594,7399
95.817419,7459
95.897679,7519
95.985607,7579
96.069582,7639
96.151230,7699
96.230616,7759
96.315120,7819
96.396738,7879
96.482364,7939
96.564227,7999
96.643663,8059
96.725301,8119
96.807515,8178
96.894663,8237
96.975901,8296
97.061651,8355
97.141382,8414
97.223089,8473
97.305310,8532
97.387497,8591
97.469566,8650
97.550063,8709
97.629524,8768
97.711744,8827
97.801241,8886
97.881960,8945
97.965559,9004
98.046532,9063
98.128070,9122
98.213893,9181
98.297602,9240
98.376819,9299
98.459087,9358
98.539560,9415
98.621153,9472
98.706410,9529
98.787835,9586
98.867177,9643
98.947923,9700
99.031587,9756
99.117462,9812
99.200571,9868
99.284953,9924
99.364595,9979
99.444110,10033
99.528642,10087
99.612066,10141
99.692607,10195
99.774648,10249
99.854574,10303
99.939132,10357
100.023237,10411
100.103575,10465
100.186136,10518
100.266059,10571
100.349498,10624
100.434081,10676
100.513656,10728
100.594792,10780
100.673775,10832
100.754662,10884
100.836216,10936
100.919147,10988
101.002333,11039
101.081313,11090
101.162969,11139
101.244658,11187
101.325984,11235
101.406504,11283
101.484467,11331
101.565741,11379
101.647753,11427
101.728614,11475
101.808522,11523
101.886970,11571
101.966615,11618
102.049690,11665
102.130511,11712
102.211297,11757
102.289699,11802
102.368380,11847
102.452758,11892
102.534308,11936
102.614373,11980
102.694126,12024
102.773199,12068
102.854948,12112
102.939912,12156
103.020510,12200
103.098351,12244
103.177229,12288
103.257502,12332
103.337482,12376
103.425229,12419
103.501583,12461
103.581377,12503
103.662151,12544
103.744820,12585
103.824789,12626
103.902242,12667
103.982375,12708
104.063580,12746
104.142778,12784
104.220520,12822
104.296311,12860
104.375372,12898
104.455346,12936
104.533956,12973
104.610188,13010
104.687151,13047
104.766147,13084
104.847121,13121
104.925300,13157
105.002979,13193
105.081044,13229
105.158626,13265
105.238536,13301
105.313488,13336
105.391614,13371
105.475335,13406
105.553599,13440
105.628892,13474
105.705190,13508
105.785019,13542
105.861879,13575
105.939936,13608
106.017463,13641
106.095517,13674
106.175583,13707
106.253966,13740
106.328804,13773
106.403846,13806
106.482648,13839
106.560774,13872
106.636912,13905
106.714220,13938
106.792913,13971
106.869397,14004
106.947551,14037
107.027249,14070
107.104367,14102
107.180091,14134
107.257823,14166
107.335211,14198
107.413733,14229
107.491136,14258
107.568532,14287
107.643407,14315
107.719766,14343
107.797949,14371
107.877153,14399
107.951618,14426
108.026972,14453
108.105135,14480
108.182841,14506
108.256991,14531
108.331815,14555
108.408287,14578
108.483515,14601
108.557884,14623
108.632209,14645
108.711473,14667
108.787568,14689
108.864658,14711
108.941088,14732
109.017673,14752
109.094103,14772
109.167409,14791
109.240633,14808
109.314100,14825
109.387889,14842
109.460663,14859
109.533928,14876
109.608275,14893
109.684499,14909
109.758928,14924
109.833612,14939
109.908815,14954
109.985928,14969
110.057601,14982
110.133485,14995
110.207330,15007
110.282757,15019
110.355675,15031
110.430392,15043
110.505432,15055
110.578780,15067
110.651803,15079
110.727504,15091
110.802324,15102
110.877188,15113
110.950500,15123
111.024537,15133
111.099714,15143
111.172465,15152
111.264315,15160
111.339165,15168
111.412090,15176
111.483756,15184
111.556254,15192
111.627364,15200
111.705086,15208
111.778331,15215
111.853516,15221
111.927302,15227
