request_id,latency,ttft,tpot,total_tokens,timestamp
100,316.1660531219095,125.27066244697198,0.10454293027105012,0,2025-04-16 22:06:35
89,316.70125773362815,121.74527376471087,0.10583929640006368,0,2025-04-16 22:06:35
94,317.9592758570798,122.66820736601949,0.10556273972489745,0,2025-04-16 22:06:37
124,317.9942295779474,136.9632075796835,0.09941297199245683,0,2025-04-16 22:06:37
88,318.57965228287503,120.14393929671496,0.1065712744286574,0,2025-04-16 22:06:37
126,319.0636301226914,137.35612373659387,0.09929371933666531,0,2025-04-16 22:06:38
90,319.6411419250071,121.96632477315143,0.10565195999564707,0,2025-04-16 22:06:38
106,321.2614227151498,127.76353491889313,0.10336425630141917,0,2025-04-16 22:06:40
131,321.19863032968715,141.42909538187087,0.09733055492572619,0,2025-04-16 22:06:40
136,322.1749413344078,144.31711758719757,0.0960355419801351,0,2025-04-16 22:06:41
134,322.76246696012095,143.8489000792615,0.09619008972089217,0,2025-04-16 22:06:42
85,324.0527511066757,119.52122009592131,0.10647138522163166,0,2025-04-16 22:06:43
119,324.3623726926744,134.7057083658874,0.10029437563552987,0,2025-04-16 22:06:43
79,324.67718727886677,117.12380421673879,0.1073737108443497,0,2025-04-16 22:06:43
160,324.58557148696855,156.6542980647646,0.09062669909455151,0,2025-04-16 22:06:43
113,324.9195651640184,132.1202456583269,0.10136662434578944,0,2025-04-16 22:06:44
139,325.16161410696805,146.4408355690539,0.09511483690149769,0,2025-04-16 22:06:44
165,325.09613329404965,159.2571061537601,0.08949758615234191,0,2025-04-16 22:06:44
78,325.4335581162013,116.96556755388156,0.10740236505013898,0,2025-04-16 22:06:44
81,325.74285014905035,117.43400758411735,0.10732037226426223,0,2025-04-16 22:06:44
154,326.3234487432055,153.94014073209837,0.09188875693555817,0,2025-04-16 22:06:45
73,327.23250567819923,114.6520295580849,0.10823853162938611,0,2025-04-16 22:06:46
104,328.03952318197116,127.37883248878643,0.10332682321997154,0,2025-04-16 22:06:47
169,328.2716938969679,161.52885811496526,0.08864584571079355,0,2025-04-16 22:06:47
111,328.6292277718894,130.05567876808345,0.10230476507151261,0,2025-04-16 22:06:47
148,329.3205966139212,151.36032227659598,0.09307545728939605,0,2025-04-16 22:06:48
145,329.5354364560917,149.25642465194687,0.09404225967874014,0,2025-04-16 22:06:48
116,330.67737507168204,132.58647232782096,0.10122171831571848,0,2025-04-16 22:06:49
75,331.08605046896264,114.96277936035767,0.10800763173843327,0,2025-04-16 22:06:50
155,331.0841002468951,154.1053330199793,0.09203264026360676,0,2025-04-16 22:06:50
159,331.2735773520544,156.48980827583,0.09098582461021573,0,2025-04-16 22:06:50
142,331.7051516510546,148.73960933694616,0.09421500634094153,0,2025-04-16 22:06:51
158,331.6665068627335,156.24353528674692,0.09108150133748005,0,2025-04-16 22:06:51
168,331.8657907010056,159.9084786903113,0.08965449009942351,0,2025-04-16 22:06:51
84,332.193840268068,119.36483347602189,0.10625512071495063,0,2025-04-16 22:06:51
162,331.9944538772106,157.34914614306763,0.09072483518656779,0,2025-04-16 22:06:51
95,332.478051727172,124.24179558409378,0.10437907576094146,0,2025-04-16 22:06:51
130,332.4982024789788,140.69272298598662,0.09781003543752788,0,2025-04-16 22:06:51
125,332.70589932985604,137.20001140469685,0.09934242272619877,0,2025-04-16 22:06:51
166,332.7891012458131,159.4203096581623,0.08987495675876142,0,2025-04-16 22:06:52
93,334.01389237632975,122.47014051210135,0.10508879874030223,0,2025-04-16 22:06:53
77,334.16754067409784,116.75888283923268,0.10709786100239663,0,2025-04-16 22:06:53
149,334.4622311280109,151.52075070887804,0.09319484483908959,0,2025-04-16 22:06:53
107,335.8719070414081,129.3359077172354,0.10229618589607367,0,2025-04-16 22:06:55
156,336.225231688004,154.27406085003167,0.09212717510783408,0,2025-04-16 22:06:55
108,336.7341324016452,129.5799380298704,0.10219743185583365,0,2025-04-16 22:06:55
87,337.26670594513416,119.82549335900694,0.10591388825432402,0,2025-04-16 22:06:56
80,338.73279897496104,117.27219695597887,0.10667659056791048,0,2025-04-16 22:06:57
144,338.7681578518823,149.09380076592788,0.09417793301189394,0,2025-04-16 22:06:58
97,338.99896022770554,124.7108921459876,0.10392243844894178,0,2025-04-16 22:06:58
112,339.15400750376284,130.35300803696737,0.10190385527906075,0,2025-04-16 22:06:58
103,339.805380650796,127.22295930981636,0.10294548248957852,0,2025-04-16 22:06:59
82,339.96783891506493,117.65326363500208,0.10652351474847285,0,2025-04-16 22:06:59
152,340.0655338629149,152.10891547473148,0.09304783088523931,0,2025-04-16 22:06:59
135,340.56983392871916,144.00755357090384,0.09625968675701044,0,2025-04-16 22:06:59
140,340.5570819112472,146.60225825104862,0.09521591735895857,0,2025-04-16 22:06:59
123,341.50202791718766,135.46970165194944,0.09991868393076539,0,2025-04-16 22:07:00
121,341.71240734681487,135.0234853788279,0.10004304064278169,0,2025-04-16 22:07:00
74,342.40225321566686,114.80430203163996,0.10740818838321231,0,2025-04-16 22:07:01
91,342.82642477285117,122.12021829513833,0.10474903012705877,0,2025-04-16 22:07:01
153,343.69535177899525,153.73549503600225,0.09239292643141683,0,2025-04-16 22:07:03
141,344.02491174498573,146.98385336017236,0.09514295431425078,0,2025-04-16 22:07:03
146,344.0130664440803,149.56481368513778,0.09411822495592573,0,2025-04-16 22:07:03
118,344.4807796278037,134.43804431706667,0.10011569843219116,0,2025-04-16 22:07:03
105,344.7253831871785,127.54131591040641,0.10278469819061624,0,2025-04-16 22:07:03
117,345.7212406680919,132.91369534935802,0.10076114835167325,0,2025-04-16 22:07:04
