elapsed_time,tokens_generated
1.783526,1
1.916363,3
2.043213,6
2.164695,10
2.221264,14
2.290526,18
2.347515,22
2.420236,26
2.489998,30
2.561440,34
2.702456,39
2.783774,44
2.856514,49
2.912164,54
2.980096,59
3.052715,64
4.275052,70
4.409288,77
4.528787,85
4.658921,94
4.716940,103
4.780732,112
4.837420,121
4.906510,130
4.978565,139
5.045128,148
5.162740,158
5.232643,168
5.300163,178
5.357549,188
5.426635,198
5.495448,208
5.569004,218
6.808240,229
6.942840,241
7.061369,254
7.193008,268
7.255802,282
7.313516,296
7.372138,310
7.438504,324
7.509890,338
7.655682,353
7.726984,368
7.799586,383
7.856665,398
7.923271,413
7.995652,428
8.065982,443
9.295912,459
9.417042,476
9.553159,494
9.682263,513
9.739287,532
9.802547,551
9.859118,570
9.929451,589
10.001887,608
10.121921,628
10.196187,648
10.269408,668
10.326114,688
10.399671,708
10.469675,728
10.535186,748
11.833804,769
11.972818,791
12.107123,814
12.242718,838
12.306248,862
12.364802,886
12.433797,910
12.508454,934
12.641378,959
12.716454,984
12.787953,1009
12.846051,1034
12.920140,1059
12.995647,1084
13.064108,1109
14.277870,1135
14.397117,1162
14.518045,1190
14.630235,1219
14.668329,1248
14.713980,1277
14.755622,1306
14.797503,1335
14.836647,1364
14.877410,1393
14.922727,1422
14.964519,1451
15.005828,1480
15.119078,1510
15.157473,1540
15.199736,1570
15.238797,1600
15.281443,1630
15.322514,1660
15.362018,1690
15.403479,1720
15.471484,1750
15.533415,1780
16.794970,1811
16.925469,1843
17.041250,1876
17.159053,1910
17.199935,1944
17.247250,1978
17.287348,2012
17.333436,2046
17.383154,2080
17.429495,2114
17.472809,2148
17.512852,2182
17.635006,2217
17.675308,2252
17.721732,2287
17.762648,2322
17.804850,2357
17.852754,2392
17.891470,2427
17.946428,2462
17.987141,2497
18.047897,2532
19.348344,2568
19.477959,2605
19.591843,2643
19.710108,2682
19.750671,2721
19.791879,2760
19.832136,2799
19.881098,2838
19.923350,2877
19.971241,2916
20.044786,2955
20.162015,2995
20.201783,3035
20.249363,3075
20.292251,3115
20.336157,3155
20.378025,3195
20.425096,3235
20.477042,3275
20.521179,3315
21.882947,3356
22.005643,3398
22.138295,3441
22.266097,3485
22.310634,3529
22.354323,3573
22.398036,3617
22.456793,3661
22.504088,3705
22.657748,3750
22.705608,3795
22.750261,3840
22.795001,3885
22.840565,3930
22.906203,3975
22.950561,4020
23.000068,4065
24.352971,4111
24.490642,4158
24.667299,4206
24.787356,4255
24.839288,4304
24.890699,4353
24.936002,4402
24.982786,4451
25.039420,4500
25.159712,4550
25.206819,4600
25.252257,4650
25.297290,4700
25.341973,4750
25.386080,4800
25.430486,4850
25.476343,4900
25.520709,4950
26.915418,5001
27.268637,5053
27.648149,5106
28.049743,5160
28.349336,5215
29.778045,5271
29.895111,5328
30.016698,5386
30.132898,5445
30.270534,5505
30.346397,5565
30.409785,5625
30.471308,5685
30.546405,5745
30.687875,5806
30.764430,5867
30.841367,5928
30.905183,5989
30.977380,6050
31.053065,6111
32.476664,6173
32.616060,6236
32.758579,6300
32.896490,6365
32.960432,6430
33.030185,6495
33.167896,6561
33.244896,6627
33.327999,6693
33.391753,6759
33.471586,6825
33.553092,6891
35.075505,6958
35.214860,7026
35.353836,7095
35.638129,7165
35.925158,7236
35.992011,7307
36.051400,7378
37.460560,7450
37.546966,7522
37.629132,7594
37.693132,7666
37.772700,7738
37.853681,7810
37.935626,7882
38.015173,7954
38.095856,8026
38.175582,8098
38.257401,8170
38.339281,8242
38.417529,8314
38.496259,8386
38.575950,8458
38.661416,8530
38.745005,8602
38.825071,8674
38.902257,8746
38.981789,8818
39.070451,8890
39.154990,8962
39.234222,9034
39.315681,9106
39.393827,9178
39.474858,9250
39.556283,9322
39.634200,9394
39.712193,9466
39.790805,9538
39.873193,9610
39.960628,9682
40.037912,9754
40.116434,9826
40.198133,9898
40.279312,9970
40.361827,10042
40.440342,10114
40.517659,10186
40.597497,10258
40.679043,10330
40.758851,10402
40.836327,10474
40.914518,10546
40.993849,10618
41.076144,10690
41.154461,10762
41.234202,10834
41.313608,10906
41.395072,10978
41.478517,11050
41.562324,11122
41.643519,11194
41.722561,11266
41.803849,11338
41.886622,11410
41.964493,11482
42.042809,11554
42.122312,11626
42.202826,11698
42.285901,11770
42.364875,11842
42.442990,11914
42.522364,11986
42.605814,12058
42.688059,12130
42.766981,12202
42.845416,12274
42.927354,12346
43.006505,12418
43.073919,12490
43.153353,12562
43.231370,12634
43.303567,12706
43.382154,12778
43.460087,12850
43.540960,12922
43.622619,12994
43.688223,13066
43.768963,13138
43.847350,13210
43.926637,13282
44.013246,13354
44.092149,13426
44.169653,13498
44.249257,13570
44.330110,13642
44.412263,13714
44.494039,13786
44.571484,13858
44.649968,13930
44.731019,14002
44.815006,14074
44.894513,14146
44.974094,14218
45.052871,14290
45.138741,14362
45.221426,14434
45.303143,14506
45.382337,14578
45.461384,14650
45.543834,14722
45.626050,14794
45.705650,14866
45.784624,14938
45.863436,15010
45.948128,15082
46.032314,15154
46.112643,15226
46.192741,15298
46.276539,15370
46.357090,15442
46.440946,15514
46.525323,15586
46.606659,15658
46.689126,15730
46.769958,15802
46.852980,15874
46.939559,15946
47.020600,16018
47.099369,16090
47.179191,16162
47.261017,16234
47.348174,16306
47.433247,16378
47.512254,16450
47.595988,16522
47.678767,16594
47.761363,16666
47.848396,16738
47.931084,16810
48.014339,16882
48.093324,16954
48.176500,17026
48.260019,17098
48.343953,17170
48.425789,17242
48.508564,17314
48.590069,17386
48.674533,17458
48.758773,17530
48.842267,17602
48.925679,17674
49.008140,17746
49.086463,17818
49.169049,17890
49.252315,17962
49.332403,18034
49.411356,18106
49.493563,18178
49.576945,18250
49.660832,18322
49.738903,18394
49.821470,18466
49.905825,18538
49.989822,18610
50.072818,18682
50.155844,18754
50.235195,18826
50.314240,18898
50.400548,18970
50.482810,19042
50.563374,19114
50.644719,19186
50.725627,19258
50.808288,19330
50.895985,19402
50.981167,19474
51.061226,19546
51.140074,19618
51.221892,19690
51.304044,19762
51.392770,19834
51.476964,19906
51.557303,19978
51.636264,20050
51.718615,20122
51.802862,20194
51.891440,20266
51.970797,20338
52.048236,20410
52.131249,20482
52.216613,20554
52.300175,20626
52.386726,20698
52.466430,20770
52.546398,20842
52.626877,20914
52.711777,20986
52.796085,21058
52.883653,21130
52.962159,21202
53.045158,21274
53.129518,21346
53.214165,21418
53.298977,21490
53.385287,21562
53.465128,21634
53.545889,21706
53.630706,21778
53.713731,21850
53.796104,21922
53.875112,21994
53.954860,22066
54.039378,22138
54.125878,22210
54.212081,22282
54.292252,22354
54.371360,22426
54.453296,22498
54.536825,22570
54.623891,22642
54.706100,22714
54.784316,22786
54.863968,22858
54.947568,22930
55.030944,23002
55.115680,23074
55.194792,23146
55.274467,23218
55.356815,23290
55.441984,23362
55.525703,23434
55.606140,23506
55.687969,23578
55.775465,23650
55.859441,23722
55.946674,23794
56.034034,23866
56.116425,23938
56.195151,24010
56.273941,24082
56.356304,24154
56.443433,24226
56.524922,24298
56.606370,24370
56.685393,24442
56.766706,24514
56.852625,24586
56.933023,24658
57.011532,24730
57.092053,24802
57.170628,24874
57.254429,24946
57.338628,25018
57.414435,25090
57.493637,25162
57.574871,25234
57.655576,25306
57.736838,25378
57.816790,25450
57.894043,25522
57.973859,25594
58.056869,25666
58.133090,25738
58.211855,25810
58.291386,25882
58.372548,25954
58.458358,26026
58.540414,26098
58.616699,26170
58.695802,26242
58.776592,26314
58.855990,26386
58.936831,26458
59.017187,26530
59.096001,26602
59.179066,26674
59.263437,26746
59.340148,26818
59.418036,26890
