request_id,e2e_latency_seconds,ttft_seconds,tpot_seconds
18,173.56898115109652,17.79058229876682,0.18499949081123718
1,82.39285319531336,4.254936480894685,0.15261311858284898
26,163.7593543343246,33.88486001221463,0.37240768015678777
21,173.96658688830212,19.402271361090243,0.18260967443546472
8,82.69618031382561,10.112751566804945,0.14176450927152473
15,173.4687731442973,15.223952820990235,0.18982521926740922
22,173.90343545703217,20.671436054632068,0.18000588711663412
19,173.8011209378019,17.99241026584059,0.18505028107513985
6,82.6251759622246,8.370093880221248,0.1450294571914128
27,163.9460034458898,82.36823448399082,0.2786766421077118
7,82.69896176410839,9.758299962151796,0.14246223008194647
4,82.5347383399494,5.934602537192404,0.14960964023975976
23,174.1406721258536,32.64337313687429,0.15712124490783663
10,82.76601623138413,11.381949831265956,0.1394220046877308
16,173.4061212609522,16.462689115665853,0.18728203668039414
3,82.53739665076137,5.652729059103876,0.15016536638995603
5,82.62737585417926,7.014740037266165,0.1476809293299084
2,82.39021242503077,4.537276986986399,0.1520565145274304
25,83.28349124314263,32.989950959105045,0.09822957086726092
20,173.74234791100025,19.199737764894962,0.18257567083252482
24,174.07178132561967,32.639325950760394,0.156987364379395
0,82.24506283178926,4.246587141882628,0.15234077283184888
14,173.24379094084725,14.111158778890967,0.19156381444094184
17,173.64013937301934,16.65952596301213,0.18734819757376323
11,82.83389176474884,12.54262170009315,0.13728763684503065
9,82.76942139910534,11.195914637297392,0.13979200539415615
13,173.3061131341383,13.890255049802363,0.19212262638795533
28,163.87477442482486,82.446439569816,0.27849906560550153
29,164.0622788751498,82.49893637094647,0.2786338374207844
12,173.13108155922964,12.761399305891246,0.19399023255456754
